lead_id,status,source,buyer,solicitation_number,title,portal_url,posted_date,due_date,lead_type,trigger_terms,fit_score,next_action,created_date,last_reviewed,notes
bexar-county-infor-adc-watch,watching,Bexar County Infor,"Bexar County, Texas",,Bexar County supplier portal and adult-detention bedding watch,https://www.bexar.org/616/Supplier-PortalVendor-Registration,2026-06-21,,correctional_detention,Bexar County; Adult Detention Center; jail; correctional; mattress; bedding; detention; inmate; cots; furniture,,"OPERATOR: register in the Bexar County Infor supplier portal, select commodity codes for mattresses, bedding, cots, furniture, shelter, correctional, and detention/inmate supplies, and enable notifications. MONITOR: check official public bids and Infor after login; promote only if a current open product-fit solicitation is verified.",2026-06-21,2026-06-22,"Public bid-page refresh 2026-06-22. Bexar County CivicEngage Open Bids page still says there are no open bid postings at this time. Supplier Portal/Vendor Registration remains the key action path because Bexar says registered suppliers receive bid notifications based on selected commodity codes. No current mattress, bedding, jail, detention, furniture, shelter, cot, or bed fit verified; keep as high-volume county-jail watch and registration target."
bernalillo-county-bonfire-portal,watching,Bonfire,"Bernalillo County, New Mexico",,Bernalillo County Bonfire registration and MDC bedding watch,https://bernco.bonfirehub.com/portal/,2026-06-21,,correctional_detention,Bernalillo County; Bonfire; Metropolitan Detention Center; MDC; correctional mattresses; jail; detention; bedding; cots; furniture,,"MONITOR: Bernalillo County Bonfire RSS is now configured; watch for jail, MDC, detention, bedding, mattress, furniture, shelter, or cot opportunities. OPERATOR: register on Bonfire and select matching commodity codes/notifications if available.",2026-06-21,2026-06-21,"Public sweep 2026-06-21 verified bernco.bonfirehub.com as a live Bonfire tenant for Bernalillo County. RSS https://bernco.bonfirehub.com/opportunities/rss returned two open opportunities: RFSQ 52-26-NH Bernalillo County Development Partner on a Rolling Submission Basis (Round 1), closing 2026-06-30, and RFP 53-26-EM Grant Process for Capital Projects/Operating Expenses in Support of the Opioid Use Settlement, closing 2026-06-30. Neither open event is mattress, bedding, jail, detention, furniture, shelter, cot, or bed product fit. Past public API showed a closed product-fit Correctional Mattresses signal handled separately. No active pipeline promotion."
bernalillo-rfb-48-26-correctional-mattresses,watching,Bonfire,"Bernalillo County, New Mexico",RFB 48-26-DC,Correctional Mattresses,https://bernco.bonfirehub.com/opportunities/233853,2026-06-21,2026-05-21,correctional_detention,Correctional Mattresses; Bernalillo County; Metropolitan Detention Center; MDC; jail; detention; bedding; inmate supplies,90,"MONITOR: closed before sweep, but this is a strong historical correctional-mattress signal. Watch Bernalillo County Bonfire RSS and registration alerts for rebid, award/contract details, addenda, or replacement-cycle follow-on; promote only if a future/open event is current.",2026-06-21,2026-06-21,"Bernalillo County Bonfire past public API reviewed 2026-06-21. ProjectID 233853, ReferenceID RFB 48-26-DC, ProjectName Correctional Mattresses, DateClose 2026-05-21 20:00:00 UTC, IsPublicAward true. Closed before sweep, so not promoted to active. Use as high-fit historical signal for Metropolitan Detention Center/correctional replacement cycles and future Bonfire alerts."
tarrant-county-ionwave-jail-watch,watching,IonWave,"Tarrant County, Texas",,Tarrant County IonWave registration and jail bedding watch,https://tarrantcountytx.ionwave.net/SourcingEvents.aspx?SourceType=1,2026-06-21,,correctional_detention,Tarrant County; IonWave; jail; sheriff; correctional; mattress; bedding; detention; inmate; cots; furniture,,"OPERATOR: register in Tarrant County IonWave, select commodity codes/notifications for mattresses, bedding, cots, furniture, shelter, correctional, and detention/inmate supplies. MONITOR: re-run current solicitations weekly; promote only if a current open product-fit event is verified.",2026-06-21,2026-06-22,"Tarrant County IonWave current-events refresh 2026-06-22 returned 17 open solicitations. Visible rows included Inseyets subscription, Job Order Contract, temperature control, Unclaimed Property Auction Services, personal protective equipment, moving services, aerial mosquito-control pesticide application, HVAC water treatment, Quickbase subscription, Medical Examiner drying rooms renovation, dental plan, concealed weapons detector/checkpoint X-ray systems, fence/gate work, juvenile forensic assessment services, oil/lubricants, and marketing services. No current mattress, bedding, jail, detention, furniture, shelter, cot, or bed product fit. No active pipeline promotion."
travis-county-transparency-jail-watch,watching,Travis County Purchasing Transparency Portal,"Travis County, Texas",,Travis County transparency portal and jail bedding watch,https://purchasingtransparency.traviscountytx.gov/public/search/solicitations,2026-06-21,,correctional_detention,Travis County; Austin; sheriff; jail; correctional; mattress; bedding; detention; inmate; cots; furniture,,"MONITOR: manually review Travis County Purchasing Transparency Portal for mattress, bedding, cots, furniture, shelter, correctional, and detention/inmate supplies. Static fetch does not expose solicitation rows, so verify in browser before any active promotion.",2026-06-21,2026-06-21,"Public sweep 2026-06-21 verified the official Travis County Purchasing Office page links Current Solicitations to https://purchasingtransparency.traviscountytx.gov/public/search/solicitations and Contracts Search to https://ethicspolicy.traviscountytx.gov/public/search/contracts. Purchasing contact: C.W. Bruner, Purchasing Agent, 700 Lavaca Suite 800, Austin, TX 78701, phone 512-854-9700. Static fetch of the current solicitations page confirmed the Purchasing Office Transparency Portal and ACTIVE solicitations search UI, but row data is Blazor-rendered and not exposed in static HTML. No current product-fit bid was confirmed; keep as manual review/registration target and do not promote without browser-visible current solicitation details."
el-paso-county-ionwave-jail-watch,watching,IonWave,"El Paso County, Texas",,El Paso County IonWave registration and jail bedding watch,https://epcountypurchasing.ionwave.net/SourcingEvents.aspx?SourceType=1,2026-06-21,,correctional_detention,El Paso County; IonWave; jail; sheriff; detention; correctional; mattress; bedding; inmate; cots; furniture,,"OPERATOR: register in El Paso County IonWave, select commodity codes/notifications for mattresses, bedding, cots, furniture, shelter, correctional, and detention/inmate supplies. MONITOR: re-run current solicitations weekly; promote only if a current open product-fit event is verified.",2026-06-21,2026-06-22,"El Paso County IonWave current-events refresh 2026-06-22 returned 6 open items: 26-015 Los Portales Museum and Visitor Center Operations and Management due 2026-06-25, 26-018 Sports Tourism Promotion Program Services due 2026-06-25, 26-016 Accounts Receivable Debt Collection Management Software due 2026-07-02, 26-019 Mobile Home Replacement Project for Community Services Department due 2026-07-09, 26-020 San Felipe OHV Park Training Area Restroom Phase I due 2026-07-16, and 26-017 Management and Operation of County-Owned Coliseum due 2026-08-06. No current mattress, bedding, jail, detention, furniture, shelter, cot, or bed product fit. No active pipeline promotion."
oklahoma-county-bidnet-detention-watch,watching,BidNet Direct,"Oklahoma County, Oklahoma",,Oklahoma County BidNet detention bedding watch,https://www.bidnetdirect.com/oklahoma/oklahomacounty,2026-06-21,,correctional_detention,Oklahoma County; BidNet; Oklahoma County Detention Center; jail; detention; correctional; mattress; bedding; inmate; cots; furniture,,"MONITOR: review Oklahoma County through the logged-in BidNet Oklahoma Purchasing Group account for mattress, bedding, cots, furniture, shelter, correctional, and detention/inmate supplies. Automated public BidNet fetch returned 403, so verify current rows after login before any active promotion.",2026-06-21,2026-06-21,"Public sweep 2026-06-21 verified the official Oklahoma County Purchasing page. The page lists Purchasing at 320 Robert S. Kerr Avenue #321, Oklahoma City, OK 73102, phone 405-713-1485, purchasing@oklahomacounty.org, and includes a Quick Links entry for Active Bids (BidNet) pointing to the Oklahoma County BidNet buyer page. The page also links Oklahoma County Detention Center from the county navigation. Automated public fetch of the BidNet Oklahoma County open-bids page returned 403 Forbidden, so no current product-fit bid was confirmed or cleared by automation. Keep as a logged-in BidNet review target and do not promote without browser-visible current solicitation details."
orleans-parish-new-orleans-brass-watch,watching,City of New Orleans BRASS,"City of New Orleans / Orleans Parish, Louisiana",,New Orleans BRASS detention and shelter bedding watch,https://nola.gov/view-bid-opportunities/,2026-06-21,,correctional_detention,New Orleans; Orleans Parish; BRASS; Infor; jail; detention; correctional; mattress; bedding; shelter; cots; furniture,,"OPERATOR: register/verify supplier profile in New Orleans BRASS and set alerts for mattress, bedding, cots, furniture, shelter, correctional, detention, and inmate-supply terms. MONITOR: re-run public BRASS bid-opportunities page weekly; promote only if a current open product-fit event is visible.",2026-06-21,2026-06-22,"New Orleans BRASS public opportunities refresh 2026-06-22. Current open rows visible on NOLA.gov/BRASS included EMS - Agility Testing, ITQ Gulf South Vector Promotional Items, ITB - NOAB - Grease Interceptor Maintenance Services, and ITB - NOAB - ST Concourse A & B Demolition, plus related non-product airport/service rows. Page links BRASS Supplier Assistance, supplier registration, and the Infor Supply Management Supplier portal. No current mattress, bedding, jail, detention, furniture, shelter, cot, or bed product fit. No active pipeline promotion."
east-baton-rouge-purchasing-prison-watch,watching,East Baton Rouge Parish Purchasing,"City of Baton Rouge / Parish of East Baton Rouge, Louisiana",,East Baton Rouge parish prison bedding watch,https://www.brla.gov/358/Purchasing,2026-06-21,,correctional_detention,East Baton Rouge; Baton Rouge; parish prison; Central Bidding; Vendor Self Service; jail; detention; correctional; mattress; bedding; shelter; cots; furniture,,"OPERATOR: register/verify City-Parish Vendor Self Service and Central Bidding access, then set alerts for mattress, bedding, cots, furniture, shelter, correctional, detention, prison, and inmate-supply terms. MONITOR: re-run public BRLA bids page and Central Bidding review weekly; promote only if a current open product-fit event is verified.",2026-06-21,2026-06-22,"East Baton Rouge public bids refresh 2026-06-22. BRLA CivicEngage Open Bids page says there are no open bid postings at this time. Keep City-Parish Vendor Self Service/Central Bidding as a logged-in registration and alert target for parish prison, detention, shelter, mattress, bedding, cots, and institutional furniture. No current product-fit bid confirmed; no active pipeline promotion."
hinds-county-purchasing-detention-watch,watching,Hinds County MS Purchasing,"Hinds County, Mississippi",,Hinds County purchasing and Raymond detention bedding watch,https://www.hindscountyms.com/departments/purchasing,2026-06-21,,correctional_detention,Hinds County; Raymond Detention Center; Jackson; sheriff; jail; detention; correctional; mattress; bedding; inmate; cots; furniture,,"OPERATOR: register/verify Hinds County vendor status and Find RFP access; add product list/catalog coverage for mattresses, bedding, cots, furniture, shelter, correctional, detention, and inmate-supply terms. MONITOR: re-run Hinds Purchasing/RFP page, Mississippi MAGIC, and Jackson Advocate notices; promote only if a current open product-fit event is verified.",2026-06-21,2026-06-22,"Hinds County Purchasing refresh 2026-06-22. Page continues to describe vendor qualification through Purchasing with W-9 plus product list/catalog pricing, annual bid agreements for commonly used supplies/services, formal-bid publication in the Jackson Advocate, and Find RFP e-purchasing. Visible RFP links remain older/non-product scopes including inmate medical services, inmate mental health services, waste collection, payroll, sheriff food bid, surplus/scrap, and public-works term bids. No current mattress, bedding, jail/detention supplies, furniture, shelter, cot, or bed product-fit bid confirmed. No active pipeline promotion."
pulaski-county-ionwave-detention-watch,watching,IonWave,"Pulaski County, Arkansas",,Pulaski County IonWave detention bedding watch,https://arkansas.ionwave.net/SourcingEvents.aspx?SourceType=1,2026-06-21,,correctional_detention,Pulaski County; Little Rock; Arkansas IonWave; sheriff; juvenile detention; jail; detention; correctional; mattress; bedding; cots; furniture,,"OPERATOR: register/verify Arkansas IonWave profile and commodity alerts for mattresses, bedding, cots, furniture, shelter, correctional, detention, juvenile detention, and inmate-supply terms. MONITOR: re-run Arkansas IonWave and Pulaski County Purchasing weekly; promote only if a current open product-fit event is verified.",2026-06-21,2026-06-22,"Arkansas IonWave refresh 2026-06-22 returned 16 open rows. Pulaski County visible rows remain 26-A-002 Providence Park Street/Drainage/Utility Improvements Phase 3 due 2026-06-30, 26-A-001 Hilaro Springs Road to Baseline due 2026-07-07, RFP-26-003 Online Auction Services due 2026-07-07, and RFP-26-004 Vending Services due 2026-07-14. Other open rows were Hot Springs chemicals/maintenance/HVAC/pressure washing, Little Rock Water Reclamation utility work, Port of Little Rock bank repairs, and non-product services. No current mattress, bedding, jail, detention, furniture, shelter, cot, or bed product fit. No active pipeline promotion."
bidnet-la-lake-chien-marine-mattress-revetment,no-fit,BidNet Direct,Louisiana State & Local,,Lake Chien Living Shoreline Project,https://www.bidnetdirect.com/louisiana,2026-05-27,2026-06-25,other,mattress; marine mattress; revetment; shoreline,0,"NO-FIT: marine mattress revetment is shoreline/civil works material, not a bedding or sleep-product opportunity. Keep BidNet TX/LA alerts active and continue logged-in searches for finished mattress, bedding, dormitory, correctional, cot, shelter, and furniture terms.",2026-06-21,2026-06-21,"Logged-in BidNet search reviewed from operator screenshot 2026-06-21. Search term mattress returned one open Louisiana Purchasing Group result: LAKE CHIEN LIVING SHORELINE PROJECT, published 2026-05-27, closing 2026-06-25 03:00 PM EDT, location Louisiana. Snippet says shoreline protection and habitat enhancement using earthen fill and marine mattress revetment along marsh platform bank. This is a civil/shoreline revetment use of mattress, not Continental Silverline product fit; do not promote to active pipeline."
bidnet-tx-la-mattresses-historical-fits,watching,BidNet Direct,BidNet Direct - Texas and Louisiana Purchasing Groups,,BidNet logged-in mattresses search historical product-fit watch,https://www.bidnetdirect.com/private/supplier/solicitations/search,2026-06-21,,correctional_detention,BidNet; mattresses; box spring; bedding; bed frames; DOC; BOP; Dallas County; Louisiana; Texas; NIGP 42068,,"MONITOR: logged-in BidNet mattresses search has confirmed product-fit history but no current open bid in the visible results. Save/continue searches for mattresses, bedding, jail mattress, detention bedding, beds, bed frames, dormitory, cots, and furniture; promote only if a future result is currently open and explicitly covers finished mattress, bedding, cot, bed-frame, dormitory, shelter, or correctional products.",2026-06-21,2026-06-21,"Logged-in BidNet search reviewed from operator paste 2026-06-21 for search term mattresses with Texas and Louisiana Purchasing Groups selected. Search returned 724 total results. Meaningful historical product-fit signals included Texas State & Local 'Mattresses and Box Spring Bedding' published 2026-05-21, closing 2026-05-27, snippet for 80 Twin XL mattresses and box spring bedding; Louisiana State & Local 'Mattresses & Box Springs - Statewide' published 2026-05-20, closing 2026-06-09, snippet with innerspring/polyfoam mattress specifications; Texas State & Local 'Mattresses and Box Spring Sets and Bed Frames' published 2026-03-24, closing 2026-04-23; Louisiana DOC '*Rebid* *Fax Bid* Mattress Units-DOC' published 2026-03-13, closing 2026-03-19; Louisiana DOC 'Mattress Supplies - DOC - PE' published 2026-03-05, closing 2026-03-24; Dallas County member agency 'Graco Stella 4-in-1 Convertible Mini Crib with Bonus Mattress' published 2026-02-03, closing 2026-02-06; Louisiana DOC '*Fax Bid* Mattress Innerspring Unit-DOC' published 2026-02-03, closing 2026-03-06; and federal 'Mattresses BOP Institutions' published 2025-12-12, closing 2025-12-15. All visible product-fit results were closed before the 2026-06-21 review, so nothing was promoted to active. False-positive/non-product terms in this result set included marine/concrete/gabion/articulated mattress, stretcher mattress, shower trolley mattress length, custodial bed/mattress cleaning, linen fitting existing mattresses, vinyl/cotton mattress-production inputs, and cleanup removal of mattresses."
bidnet-six-state-bed-bedding-search-noise,no-fit,BidNet Direct,BidNet Direct - six-state search,,BidNet bed/bedding search false-positive batch,https://www.bidnetdirect.com/private/supplier/solicitations/search,2026-06-21,,other,bed; bedding; bed bugs; landscape beds; truck bed; pipe bedding; carbon bed; private bed purchase,0,"NO-FIT: do not promote landscape beds, truck beds, pest-control bed bugs, waterline/pipe bedding, carbon beds, laundry services, or residential treatment bed-payment services. Continue logged-in BidNet searches for explicit finished mattress, bedding, cot, bed-frame, dormitory, shelter, or correctional product buys.",2026-06-21,2026-06-21,"Logged-in BidNet six-state bed/bedding search reviewed from operator paste 2026-06-21. Non-product or service false positives included Milam Residence plant installation (landscape beds), annual pest-control services and Abilene/CNHS pest control (bed bugs), chlorine truck/crane and F-150 truck bed cap, landscaping/grounds maintenance flower beds, Marshall water line/rock/bridge/waterline bedding, RO/DI carbon bed maintenance, utility body bed removal/installation, crane/flat-bed transport, laundry/linen service, and Behavioral Health Services RTC private bed purchase (service/payment for treatment beds, not bedding product). JBSA FA301626Q0151 was handled separately as an active bed/furniture candidate."
lsu-lapac-dept19-dorm-ffe-watch,watching,Louisiana State University Procurement / LaPAC,Louisiana State University,,LSU LaPAC department 19 dorm and FF&E watch,https://wwwcfprd.doa.louisiana.gov/osp/lapac/dspbid.cfm?search=department&term=19,2026-06-21,,dorm_student_housing,LSU; LaPAC; department 19; dormitory; residence hall; student housing; mattress; bedding; beds; Twin XL; furniture; FF&E,45,"MONITOR: review LSU department-19 LaPAC postings weekly and keep LaGov supplier notifications active for mattress, bedding, bed, dormitory, residence-hall, student-housing, furniture, and FF&E terms. Promote only if a current open LSU event explicitly includes finished mattress, bedding, bed-frame, dormitory, shelter, cot, or related sleep products.",2026-06-21,2026-06-21,"Public sweep 2026-06-21 verified the official LSU Procurement page and LaPAC posting route. LSU says ITBs and RFPs/public bid notices are electronically posted on Louisiana LaPAC, suppliers enrolled in LaPAC receive email notification of LSU postings, and new suppliers seeking email notifications must register through LaGov Supplier Self Registration Portal and pay subscription fees. LSU Procurement bid-submission instructions say formal bids must be emailed to lsubids@lsu.edu and hard copies are not accepted. Direct LSU LaPAC department-19 page showed open/current rows including 50001-2847 UREC & Lab School HVAC System Maintenance term contract; 50001-2848 Liquid Nitrogen for Museum of Natural Science term contract; 50001-2810 Printing & Finishing LSU Acceptance Packets; 50001-2838 Automated Multi-Degree of Freedom Hybrid Manufacturing System; 50001-2842 Arbor Services term contract; 50001-2836 LSUS Plumbing & Mechanical Services term contract; 50001-2817 Burden Museum & Gardens LA Light Show Maintenance; 50001-2831 Baseball and Softballs; 50001-2834 LSUS Solid Waste Collection; 50001-2813 Custodial Services; and newspaper printing. No current mattress, bedding, bed, dormitory, residence-hall, furniture, FF&E, cot, shelter, or sleep-product fit was confirmed. No active pipeline promotion."
ou-jaggaer-dorm-housing-watch,watching,University of Oklahoma Procurement / Jaggaer,University of Oklahoma,,OU Jaggaer dorm and housing product watch,https://bids.sciquest.com/apps/Router/PublicEvent?CustomerOrg=OUHSC,2026-06-21,,dorm_student_housing,OU; Jaggaer; SciQuest; dormitory; residence hall; student housing; mattress; bedding; beds; Twin XL; linen; furniture; FF&E,45,"OPERATOR: register/verify OU Jaggaer supplier account and set watch terms for mattress, bedding, linen, bed, bed-frame, dormitory, residence-hall, student-housing, furniture, and FF&E. MONITOR: re-sweep OU public sourcing weekly; promote only if a current open OU event explicitly includes finished mattress, bedding, bed-frame, dormitory, shelter, cot, or related sleep products.",2026-06-21,2026-06-21,"Public sweep 2026-06-21 verified OU Procurement at https://www.ou.edu/procurement and the OU public sourcing board at https://bids.sciquest.com/apps/Router/PublicEvent?CustomerOrg=OUHSC. The sourcing board says suppliers can access current and upcoming procurement opportunities, submit bids/proposals, and communicate with OU Procurement; registration questions go to SupplierRelations@ou.edu. OU supplier information page says suppliers only have to register in the Jaggaer procurement system if they wish to participate in bids and solicitations, and instructs bidders to use the public sourcing URL and Respond Now flow. Visible rows included RFP-2026-378 Enterprise DDI Infrastructure Modernization and Support Services, open 2026-05-15 through 2026-07-31; RFP-2026-375 Temporary Labor for Catering Facilities, closed 2026-06-15; RFP-2026-374 Tennis Court Resurfacing, closed 2026-06-15; RFP-2026-371 Employee Assistance Program, closed 2026-06-03; and RFP-2026-369 Linen Services, closed 2026-06-02. Linen Services was laundering/rental service scope and already closed before sweep; the only future-dated visible event was IT infrastructure support. No current mattress, bedding, bed, dormitory, residence-hall, furniture, FF&E, cot, shelter, or sleep-product fit was confirmed. No active pipeline promotion."
osu-jaggaer-dorm-housing-watch,watching,Oklahoma State University Procurement / Jaggaer,Oklahoma State University and A&M Colleges,,OSU A&M Jaggaer dorm and housing product watch,https://bids.sciquest.com/apps/Router/PublicEvent?CustomerOrg=OSU,2026-06-21,,dorm_student_housing,OSU; Oklahoma State; Jaggaer; SciQuest; dormitory; residence hall; student housing; mattress; bedding; beds; Twin XL; linen; furniture; FF&E,45,"OPERATOR: register/verify OSU Jaggaer supplier account and set watch terms for mattress, bedding, linen, bed, bed-frame, dormitory, residence-hall, student-housing, furniture, and FF&E. MONITOR: re-sweep OSU public sourcing weekly; promote only if a current open OSU event explicitly includes finished mattress, bedding, bed-frame, dormitory, shelter, cot, or related sleep products.",2026-06-21,2026-06-21,"Public sweep 2026-06-21 verified the OSU A&M System public sourcing board at https://bids.sciquest.com/apps/Router/PublicEvent?CustomerOrg=OSU. The board describes itself as the Office of Central Procurement solicitations and awards page for Oklahoma State University and the A&M Colleges, facilitating procurement of goods and services for the OSU A&M System; it exposes open, upcoming, closed, awarded, and all-opportunity tabs plus Respond Now links. adminfinance.okstate.edu purchasing, bids, and supplier-registration subpages returned a Cloudflare JavaScript/cookie challenge to automated fetches during review, so use a browser/manual check for those pages if registration help is needed. Visible open rows were OSUA&M-RFP-001839-2026 Athletics team travel services for a football travel event to Surprise, Arizona, due 2026-07-30; OSUA&M-PRO-001844-2026 OSU Equestrian Patio, due 2026-07-13; OSUTUL-RFP-001795-2026 Coding Reviews, due 2026-06-30; OSUA&M-RFP-001836-2026 Planned Maintenance Program for the Hamm Institute, due 2026-06-29; OSUA&M-RFQ-001843-2026 OSU-Tulsa AV Refresh Project, due 2026-06-24; and OSUTUL-RFP-001827-2026 Rural Health Clinic Consulting Services, due 2026-06-22. No current mattress, bedding, bed, dormitory, residence-hall, furniture, FF&E, cot, shelter, or sleep-product fit was confirmed. No active pipeline promotion."
